values,freq,unit,sex,age,geo,time
11218.0,A,NR,T,Y5,BE10,1994
11329.0,A,NR,T,Y5,BE10,1995
11556.0,A,NR,T,Y5,BE10,1996
11515.0,A,NR,T,Y5,BE10,1997
11655.0,A,NR,T,Y5,BE10,1998
11320.0,A,NR,T,Y5,BE10,1999
11488.0,A,NR,T,Y5,BE10,2000
11500.0,A,NR,T,Y5,BE10,2001
11827.0,A,NR,T,Y5,BE10,2002
12107.0,A,NR,T,Y5,BE10,2003
12179.0,A,NR,T,Y5,BE10,2004
12294.0,A,NR,T,Y5,BE10,2005
12573.0,A,NR,T,Y5,BE10,2006
13150.0,A,NR,T,Y5,BE10,2007
13049.0,A,NR,T,Y5,BE10,2008
13583.0,A,NR,T,Y5,BE10,2009
14359.0,A,NR,T,Y5,BE10,2010
15163.0,A,NR,T,Y5,BE10,2011
15720.0,A,NR,T,Y5,BE10,2012
16022.0,A,NR,T,Y5,BE10,2013
16345.0,A,NR,T,Y5,BE10,2014
16924.0,A,NR,T,Y5,BE10,2015
17398.0,A,NR,T,Y5,BE10,2016
16810.0,A,NR,T,Y5,BE10,2017
16934.0,A,NR,T,Y5,BE10,2018
16433.0,A,NR,T,Y5,BE10,2019
16542.0,A,NR,T,Y5,BE10,2020
16101.0,A,NR,T,Y5,BE10,2021
15723.0,A,NR,T,Y5,BE10,2022
15785.0,A,NR,T,Y5,BE10,2023
15570.0,A,NR,T,Y5,BE10,2024
15071.0,A,NR,T,Y5,BE10,2025
10819.0,A,NR,T,Y6,BE10,1990
10889.0,A,NR,T,Y6,BE10,1991
10431.0,A,NR,T,Y6,BE10,1992
10778.0,A,NR,T,Y6,BE10,1993
10929.0,A,NR,T,Y6,BE10,1994
11119.0,A,NR,T,Y6,BE10,1995
11138.0,A,NR,T,Y6,BE10,1996
11407.0,A,NR,T,Y6,BE10,1997
11417.0,A,NR,T,Y6,BE10,1998
11537.0,A,NR,T,Y6,BE10,1999
11345.0,A,NR,T,Y6,BE10,2000
11343.0,A,NR,T,Y6,BE10,2001
11557.0,A,NR,T,Y6,BE10,2002
11802.0,A,NR,T,Y6,BE10,2003
11964.0,A,NR,T,Y6,BE10,2004
12016.0,A,NR,T,Y6,BE10,2005
12236.0,A,NR,T,Y6,BE10,2006
12481.0,A,NR,T,Y6,BE10,2007
13020.0,A,NR,T,Y6,BE10,2008
12934.0,A,NR,T,Y6,BE10,2009
13530.0,A,NR,T,Y6,BE10,2010
14526.0,A,NR,T,Y6,BE10,2011
15006.0,A,NR,T,Y6,BE10,2012
15558.0,A,NR,T,Y6,BE10,2013
15865.0,A,NR,T,Y6,BE10,2014
16151.0,A,NR,T,Y6,BE10,2015
16766.0,A,NR,T,Y6,BE10,2016
16964.0,A,NR,T,Y6,BE10,2017
16493.0,A,NR,T,Y6,BE10,2018
16615.0,A,NR,T,Y6,BE10,2019
16151.0,A,NR,T,Y6,BE10,2020
16229.0,A,NR,T,Y6,BE10,2021
15707.0,A,NR,T,Y6,BE10,2022
15700.0,A,NR,T,Y6,BE10,2023
15544.0,A,NR,T,Y6,BE10,2024
15344.0,A,NR,T,Y6,BE10,2025
10970.0,A,NR,T,Y7,BE10,1990
10626.0,A,NR,T,Y7,BE10,1991
10708.0,A,NR,T,Y7,BE10,1992
10293.0,A,NR,T,Y7,BE10,1993
10608.0,A,NR,T,Y7,BE10,1994
10878.0,A,NR,T,Y7,BE10,1995
10968.0,A,NR,T,Y7,BE10,1996
11074.0,A,NR,T,Y7,BE10,1997
11373.0,A,NR,T,Y7,BE10,1998
11259.0,A,NR,T,Y7,BE10,1999
11480.0,A,NR,T,Y7,BE10,2000
11272.0,A,NR,T,Y7,BE10,2001
11361.0,A,NR,T,Y7,BE10,2002
11512.0,A,NR,T,Y7,BE10,2003
11719.0,A,NR,T,Y7,BE10,2004
11856.0,A,NR,T,Y7,BE10,2005
11967.0,A,NR,T,Y7,BE10,2006
12157.0,A,NR,T,Y7,BE10,2007
12405.0,A,NR,T,Y7,BE10,2008
12915.0,A,NR,T,Y7,BE10,2009
12887.0,A,NR,T,Y7,BE10,2010
13750.0,A,NR,T,Y7,BE10,2011
14363.0,A,NR,T,Y7,BE10,2012
14839.0,A,NR,T,Y7,BE10,2013
15416.0,A,NR,T,Y7,BE10,2014
15702.0,A,NR,T,Y7,BE10,2015
16074.0,A,NR,T,Y7,BE10,2016
16428.0,A,NR,T,Y7,BE10,2017
16766.0,A,NR,T,Y7,BE10,2018
16227.0,A,NR,T,Y7,BE10,2019
16328.0,A,NR,T,Y7,BE10,2020
15838.0,A,NR,T,Y7,BE10,2021
15941.0,A,NR,T,Y7,BE10,2022
15598.0,A,NR,T,Y7,BE10,2023
15498.0,A,NR,T,Y7,BE10,2024
15334.0,A,NR,T,Y7,BE10,2025
11329.0,A,NR,T,Y8,BE10,1990
10770.0,A,NR,T,Y8,BE10,1991
10438.0,A,NR,T,Y8,BE10,1992
10588.0,A,NR,T,Y8,BE10,1993
10176.0,A,NR,T,Y8,BE10,1994
10526.0,A,NR,T,Y8,BE10,1995
10768.0,A,NR,T,Y8,BE10,1996
10878.0,A,NR,T,Y8,BE10,1997
11008.0,A,NR,T,Y8,BE10,1998
11263.0,A,NR,T,Y8,BE10,1999
11218.0,A,NR,T,Y8,BE10,2000
11363.0,A,NR,T,Y8,BE10,2001
11391.0,A,NR,T,Y8,BE10,2002
11360.0,A,NR,T,Y8,BE10,2003
11401.0,A,NR,T,Y8,BE10,2004
11593.0,A,NR,T,Y8,BE10,2005
11859.0,A,NR,T,Y8,BE10,2006
11827.0,A,NR,T,Y8,BE10,2007
12139.0,A,NR,T,Y8,BE10,2008
12407.0,A,NR,T,Y8,BE10,2009
12829.0,A,NR,T,Y8,BE10,2010
13152.0,A,NR,T,Y8,BE10,2011
13619.0,A,NR,T,Y8,BE10,2012
14259.0,A,NR,T,Y8,BE10,2013
14681.0,A,NR,T,Y8,BE10,2014
15160.0,A,NR,T,Y8,BE10,2015
15652.0,A,NR,T,Y8,BE10,2016
15801.0,A,NR,T,Y8,BE10,2017
16173.0,A,NR,T,Y8,BE10,2018
16533.0,A,NR,T,Y8,BE10,2019
15902.0,A,NR,T,Y8,BE10,2020
16047.0,A,NR,T,Y8,BE10,2021
15543.0,A,NR,T,Y8,BE10,2022
15909.0,A,NR,T,Y8,BE10,2023
15466.0,A,NR,T,Y8,BE10,2024
15392.0,A,NR,T,Y8,BE10,2025
11250.0,A,NR,T,Y9,BE10,1990
11175.0,A,NR,T,Y9,BE10,1991
10656.0,A,NR,T,Y9,BE10,1992
10287.0,A,NR,T,Y9,BE10,1993
10483.0,A,NR,T,Y9,BE10,1994
10131.0,A,NR,T,Y9,BE10,1995
10371.0,A,NR,T,Y9,BE10,1996
10699.0,A,NR,T,Y9,BE10,1997
10840.0,A,NR,T,Y9,BE10,1998
10883.0,A,NR,T,Y9,BE10,1999
11274.0,A,NR,T,Y9,BE10,2000
11222.0,A,NR,T,Y9,BE10,2001
11421.0,A,NR,T,Y9,BE10,2002
11411.0,A,NR,T,Y9,BE10,2003
11284.0,A,NR,T,Y9,BE10,2004
11310.0,A,NR,T,Y9,BE10,2005
11597.0,A,NR,T,Y9,BE10,2006
11749.0,A,NR,T,Y9,BE10,2007
11754.0,A,NR,T,Y9,BE10,2008
12173.0,A,NR,T,Y9,BE10,2009
12433.0,A,NR,T,Y9,BE10,2010
13088.0,A,NR,T,Y9,BE10,2011
13010.0,A,NR,T,Y9,BE10,2012
13566.0,A,NR,T,Y9,BE10,2013
14127.0,A,NR,T,Y9,BE10,2014
14566.0,A,NR,T,Y9,BE10,2015
15122.0,A,NR,T,Y9,BE10,2016
15368.0,A,NR,T,Y9,BE10,2017
15594.0,A,NR,T,Y9,BE10,2018
15997.0,A,NR,T,Y9,BE10,2019
16221.0,A,NR,T,Y9,BE10,2020
15723.0,A,NR,T,Y9,BE10,2021
15796.0,A,NR,T,Y9,BE10,2022
15585.0,A,NR,T,Y9,BE10,2023
15735.0,A,NR,T,Y9,BE10,2024
15299.0,A,NR,T,Y9,BE10,2025
10913.0,A,NR,T,Y10,BE10,1990
11121.0,A,NR,T,Y10,BE10,1991
11016.0,A,NR,T,Y10,BE10,1992
10541.0,A,NR,T,Y10,BE10,1993
10235.0,A,NR,T,Y10,BE10,1994
10404.0,A,NR,T,Y10,BE10,1995
10060.0,A,NR,T,Y10,BE10,1996
10306.0,A,NR,T,Y10,BE10,1997
10640.0,A,NR,T,Y10,BE10,1998
10758.0,A,NR,T,Y10,BE10,1999
10891.0,A,NR,T,Y10,BE10,2000
11211.0,A,NR,T,Y10,BE10,2001
11237.0,A,NR,T,Y10,BE10,2002
11398.0,A,NR,T,Y10,BE10,2003
11384.0,A,NR,T,Y10,BE10,2004
11282.0,A,NR,T,Y10,BE10,2005
11343.0,A,NR,T,Y10,BE10,2006
11545.0,A,NR,T,Y10,BE10,2007
11727.0,A,NR,T,Y10,BE10,2008
11717.0,A,NR,T,Y10,BE10,2009
12190.0,A,NR,T,Y10,BE10,2010
12760.0,A,NR,T,Y10,BE10,2011
13011.0,A,NR,T,Y10,BE10,2012
13025.0,A,NR,T,Y10,BE10,2013
13523.0,A,NR,T,Y10,BE10,2014
14037.0,A,NR,T,Y10,BE10,2015
14495.0,A,NR,T,Y10,BE10,2016
14871.0,A,NR,T,Y10,BE10,2017
15209.0,A,NR,T,Y10,BE10,2018
15383.0,A,NR,T,Y10,BE10,2019
15725.0,A,NR,T,Y10,BE10,2020
16023.0,A,NR,T,Y10,BE10,2021
15469.0,A,NR,T,Y10,BE10,2022
15822.0,A,NR,T,Y10,BE10,2023
15456.0,A,NR,T,Y10,BE10,2024
15598.0,A,NR,T,Y10,BE10,2025
10855.0,A,NR,T,Y11,BE10,1990
10804.0,A,NR,T,Y11,BE10,1991
10934.0,A,NR,T,Y11,BE10,1992
10924.0,A,NR,T,Y11,BE10,1993
10467.0,A,NR,T,Y11,BE10,1994
10207.0,A,NR,T,Y11,BE10,1995
10300.0,A,NR,T,Y11,BE10,1996
10059.0,A,NR,T,Y11,BE10,1997
10283.0,A,NR,T,Y11,BE10,1998
10604.0,A,NR,T,Y11,BE10,1999
10789.0,A,NR,T,Y11,BE10,2000
10865.0,A,NR,T,Y11,BE10,2001
11245.0,A,NR,T,Y11,BE10,2002
11266.0,A,NR,T,Y11,BE10,2003
11332.0,A,NR,T,Y11,BE10,2004
11272.0,A,NR,T,Y11,BE10,2005
11278.0,A,NR,T,Y11,BE10,2006
11314.0,A,NR,T,Y11,BE10,2007
11520.0,A,NR,T,Y11,BE10,2008
11776.0,A,NR,T,Y11,BE10,2009
11731.0,A,NR,T,Y11,BE10,2010
12512.0,A,NR,T,Y11,BE10,2011
12791.0,A,NR,T,Y11,BE10,2012
12973.0,A,NR,T,Y11,BE10,2013
12970.0,A,NR,T,Y11,BE10,2014
13431.0,A,NR,T,Y11,BE10,2015
14062.0,A,NR,T,Y11,BE10,2016
14328.0,A,NR,T,Y11,BE10,2017
14701.0,A,NR,T,Y11,BE10,2018
15104.0,A,NR,T,Y11,BE10,2019
15170.0,A,NR,T,Y11,BE10,2020
15621.0,A,NR,T,Y11,BE10,2021
15809.0,A,NR,T,Y11,BE10,2022
15550.0,A,NR,T,Y11,BE10,2023
15750.0,A,NR,T,Y11,BE10,2024
15403.0,A,NR,T,Y11,BE10,2025
10615.0,A,NR,T,Y12,BE10,1990
10681.0,A,NR,T,Y12,BE10,1991
10658.0,A,NR,T,Y12,BE10,1992
10843.0,A,NR,T,Y12,BE10,1993
10845.0,A,NR,T,Y12,BE10,1994
10391.0,A,NR,T,Y12,BE10,1995
10121.0,A,NR,T,Y12,BE10,1996
10298.0,A,NR,T,Y12,BE10,1997
9992.0,A,NR,T,Y12,BE10,1998
10262.0,A,NR,T,Y12,BE10,1999
10583.0,A,NR,T,Y12,BE10,2000
10795.0,A,NR,T,Y12,BE10,2001
10976.0,A,NR,T,Y12,BE10,2002
11261.0,A,NR,T,Y12,BE10,2003
11230.0,A,NR,T,Y12,BE10,2004
11276.0,A,NR,T,Y12,BE10,2005
11302.0,A,NR,T,Y12,BE10,2006
11234.0,A,NR,T,Y12,BE10,2007
11280.0,A,NR,T,Y12,BE10,2008
11532.0,A,NR,T,Y12,BE10,2009
11765.0,A,NR,T,Y12,BE10,2010
12089.0,A,NR,T,Y12,BE10,2011
12524.0,A,NR,T,Y12,BE10,2012
12764.0,A,NR,T,Y12,BE10,2013
12934.0,A,NR,T,Y12,BE10,2014
12859.0,A,NR,T,Y12,BE10,2015
13423.0,A,NR,T,Y12,BE10,2016
13889.0,A,NR,T,Y12,BE10,2017
14179.0,A,NR,T,Y12,BE10,2018
14549.0,A,NR,T,Y12,BE10,2019
14902.0,A,NR,T,Y12,BE10,2020
15025.0,A,NR,T,Y12,BE10,2021
15453.0,A,NR,T,Y12,BE10,2022
15859.0,A,NR,T,Y12,BE10,2023
15528.0,A,NR,T,Y12,BE10,2024
15661.0,A,NR,T,Y12,BE10,2025
10325.0,A,NR,T,Y13,BE10,1990
10477.0,A,NR,T,Y13,BE10,1991
10521.0,A,NR,T,Y13,BE10,1992
10587.0,A,NR,T,Y13,BE10,1993
10766.0,A,NR,T,Y13,BE10,1994
10781.0,A,NR,T,Y13,BE10,1995
10339.0,A,NR,T,Y13,BE10,1996
10101.0,A,NR,T,Y13,BE10,1997
10309.0,A,NR,T,Y13,BE10,1998
9963.0,A,NR,T,Y13,BE10,1999
10326.0,A,NR,T,Y13,BE10,2000
10586.0,A,NR,T,Y13,BE10,2001
10906.0,A,NR,T,Y13,BE10,2002
11008.0,A,NR,T,Y13,BE10,2003
11216.0,A,NR,T,Y13,BE10,2004
11221.0,A,NR,T,Y13,BE10,2005
11324.0,A,NR,T,Y13,BE10,2006
11286.0,A,NR,T,Y13,BE10,2007
11254.0,A,NR,T,Y13,BE10,2008
11321.0,A,NR,T,Y13,BE10,2009
11625.0,A,NR,T,Y13,BE10,2010
12079.0,A,NR,T,Y13,BE10,2011
12094.0,A,NR,T,Y13,BE10,2012
12591.0,A,NR,T,Y13,BE10,2013
12794.0,A,NR,T,Y13,BE10,2014
12889.0,A,NR,T,Y13,BE10,2015
12902.0,A,NR,T,Y13,BE10,2016
13370.0,A,NR,T,Y13,BE10,2017
13756.0,A,NR,T,Y13,BE10,2018
14090.0,A,NR,T,Y13,BE10,2019
14421.0,A,NR,T,Y13,BE10,2020
14767.0,A,NR,T,Y13,BE10,2021
14938.0,A,NR,T,Y13,BE10,2022
15577.0,A,NR,T,Y13,BE10,2023
15826.0,A,NR,T,Y13,BE10,2024
15491.0,A,NR,T,Y13,BE10,2025
10282.0,A,NR,T,Y14,BE10,1990
10243.0,A,NR,T,Y14,BE10,1991
10308.0,A,NR,T,Y14,BE10,1992
10452.0,A,NR,T,Y14,BE10,1993
10531.0,A,NR,T,Y14,BE10,1994
10761.0,A,NR,T,Y14,BE10,1995
