IDF,CVL,BOU,FCO,BN,HN,NPC,PIC,ALS,CHA,LOR,PDL,BRE,AQU,LIM,POI,LR,MPY,AUV,RA,PACA,COR
79.94401379816611,79.3824411875186,78.430902655431,78.77687439853987,78.74213460514778,77.95291613603594,76.20466168223392,77.26988762432482,78.34645271941395,78.09969571291735,77.65335212767913,79.29527639836871,77.96821475124013,79.4854935505073,79.1423445125064,79.35619587888212,79.03589636547845,79.95730466069314,78.24490806156464,79.73378583429081,79.24443099847217,79.06712679701063
80.14784647142785,79.33064695391414,78.62927113116656,78.95389649462784,78.83647694947152,77.92125037683198,76.53938333201607,77.28465318986949,78.61561278215446,78.1603290323356,78.01900082865765,79.75413177857673,78.17596862859531,79.53111850148895,78.96945138360338,79.51864837664573,79.2159171333738,80.15705000461229,78.5255602479121,79.92312199694784,79.48511973182511,79.37563494773411
80.31253357175608,79.6475470992645,78.69082261101404,79.08811473686276,79.11007717330803,78.32672924760604,76.39653172292375,77.36422985265828,78.84805442289313,78.23455421083327,78.04659840343771,79.82918373361517,78.40353021203582,79.9106037958906,79.3760334164278,79.70141174515825,79.42751395505104,80.2819750993962,78.55729020446209,80.12503232070084,79.65744487358282,79.62715644990989
80.10034805388169,79.30141076453671,78.79313006182365,79.29804147420585,78.97609463338804,78.39433391327435,76.54807566673719,77.45264922750827,78.89578182668532,78.16112159461744,77.97706968643823,79.82717391132353,78.71283666025839,79.82405299997023,79.35395221914744,79.70704141412189,79.46247140572046,80.41277488143932,78.76962462727252,80.29925361377533,79.64873814683685,79.69595790269751
81.26598569937514,80.73219471934347,79.8976956967206,80.10845904276131,79.8831137108114,79.29686100104841,77.5484753212064,78.5654055986706,79.79364979559334,79.22257895808796,79.1220360016171,80.83620159198723,79.28236851671018,80.86888298876913,80.75003722939009,80.70073363948067,80.46149657212425,81.34539825602633,79.33153960147907,81.12634091555603,80.74936199714767,80.61978244500692
81.42546479285805,80.61295625556637,79.99476375220584,80.21705880902894,79.91212391882448,79.36719060250276,77.49009455445304,78.56642888870404,79.89119631694909,79.22895924055823,79.18016473274355,81.07989698181046,79.39272852226375,80.86617919980182,80.1458339695176,80.73239752715537,80.48869508203951,81.2607524824095,79.63615489041004,81.2091792547176,80.6726879188404,80.71053164398894
81.83030549161023,81.03211829483081,80.15028522116242,80.75353736723005,80.35850001343911,79.50387571274037,77.94619149241468,78.98418417037378,80.45605239475098,79.82324035688701,79.5857271284514,81.40724410814359,79.94779303149623,81.16639749480342,81.02832367819155,81.15272027230772,80.93040091792277,81.71229447557796,80.13985591061221,81.74195019984607,81.2112884936568,81.14265149888669
82.13694405492956,81.20079694463747,80.53083802872742,80.95632355058669,80.5921669969725,79.99790695240489,78.24288007085799,79.05628021228962,80.66929298456553,79.7286493181665,79.75739122848876,81.63412417126123,80.03445138321392,81.50888159807405,80.70090985991862,81.44896485995825,81.18826894356489,81.91416566543799,80.3165137976562,81.96937980635053,81.44559271568426,81.53796380582583
82.39395468270473,81.26744475724499,80.59611800816519,81.11267588081647,80.55034111745736,80.18459711466119,78.39447075828897,79.12015149058341,80.76942041593728,79.87248563921968,80.13126079087411,81.79181886198536,80.37609902765708,81.67627900597,81.20030364790016,81.52338788482426,81.31351198614185,82.16897995325823,80.42530577524563,82.11237383076606,81.62625495394872,81.73944338726125
82.63907084260617,81.37764645424437,80.8512172058732,81.35694536856106,80.77824351896436,80.11415906771788,78.6674213999233,79.34158486463286,80.93036613155546,80.11564325862648,80.33397560427969,81.96344691070425,80.45983024133778,81.89048801620962,81.00773836447429,81.70618587685865,81.51333455878857,82.35039858502977,80.63441266045477,82.20129933436989,81.84163881127941,81.89345564313007
82.79974235034827,81.63481836752484,81.08597604255132,81.55764990430961,81.05213644112298,80.34352368843827,78.92701984935623,79.86197654885648,81.19082690266053,80.43049783409005,80.57825776188851,82.3490461154396,80.83946573896556,82.05528874272963,81.39506288042828,81.97804628317091,81.75118752332835,82.492058685416,80.90524931377925,82.47802918372325,82.09602285397281,81.9651249893163
83.21091889327374,82.45342915842899,81.06617233267232,81.91306680966748,81.2376265802291,80.7964830415433,79.32540638137876,79.99499807592618,81.74580845938932,80.99327686822886,81.07959644153277,82.79938841743262,81.1069127343186,82.51391259712294,81.35563135615207,82.46094355221861,82.19927559862535,82.97860158035479,81.424113891657,82.98191625791056,82.52447475634105,82.41187121304678
